section,kategoriId,code,name,hex,rgb,sourceFile
İç Cephe,,1640/Cİ-6481,Doğal Bej,#c2b9af,"194, 185, 175",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,060/Cİ-6342,Sahra Beji,#d6cab9,"214, 202, 185",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,5737/Cİ-6271,Sade Bej,#d6cec0,"214, 206, 192",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,1570/Cİ-6381,Yalın Beyaz,#d7d0c3,"215, 208, 195",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,6610/Cİ-6610,Yeni Kuğu,#e3ddd4,"227, 221, 212",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,41417Cİ-6504,Gizemli Toprak,#968073,"150, 128, 115",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,066/Cİ-6294,İstanbul Beji,#d3c0ab,"211, 192, 171",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,1520/Cİ-6511,Roma Sarısı,#e0d1bf,"224, 209, 191",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,050/Cİ-6262,Kumsal Beji,#dac9b8,"218, 201, 184",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,6640/Cİ-6640,Yeni Bambu,#e0d3c3,"224, 211, 195",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,6660/Cİ-6660,Yeni Antik,#d8cfc4,"216, 207, 196",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,1860/Cİ-7151,Karizmatik Krem,#e3d4c7,"227, 212, 199",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,6760/Cİ-6760,Yeni Kutup,#e2dcd6,"226, 220, 214",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,6910/Cİ-6910,Beyaz Gece,#dcd5d2,"220, 213, 210",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,1620/Cİ-6214,Gizemli Bej,#b4aca8,"180, 172, 168",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,1500/Cİ-6431,Romans,#d1c9c4,"209, 201, 196",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
İç Cephe,,4004/Cİ-6205,Elegan Gri,#686362,"104, 99, 98",renkler/dış cephe/Polisan Renk Kartelası - Boya Renkleri _ Polisan.html
